Group,Code,Description,Stock,Unit,Rate,Mrp,Gst,OE PART NUMBER
Demo1,LLRED1,Description here,25,PCS,123,235,18%,NONE
Demo1,LLRED2,Description here,25,PCS,124,236,18%,NONE
Demo1,LLRED3,Description here,5,PCS,125,237,18%,NONE
Demo1,LLRED4,Description here,48,PCS,126,238,18%,NONE
Demo1,LLRED5,Description here,9663,PCS,127,239,18%,NONE
Demo1,LLRED6,Description here,7742.9,PCS,128,240,18%,NONE
Demo1,LLRED7,Description here,9672.8,PCS,129,241,18%,NONE
Demo1,LLRED8,Description here,11602.7,PCS,130,242,18%,NONE
Demo1,LLRED9,Description here,13532.6,PCS,131,243,18%,NONE
Demo1,LLRED10,Description here,15462.5,PCS,132,244,18%,NONE
Demo1,LLRED11,Description here,17392.4,PCS,133,245,18%,NONE
Demo1,LLRED12,Description here,19322.3,PCS,134,246,18%,NONE
Demo1,LLRED13,Description here,21252.2,PCS,135,247,18%,NONE
Demo1,LLRED14,Description here,23182.1,PCS,136,248,18%,NONE
Demo1,LLRED15,Description here,25112,PCS,137,249,18%,NONE
Demo1,LLRED16,Description here,27041.9,PCS,138,250,18%,NONE
Demo1,LLRED17,Description here,28971.8,PCS,139,251,18%,NONE
Demo1,LLRED18,Description here,30901.7,PCS,140,252,18%,NONE
Demo1,LLRED19,Description here,32831.6,PCS,141,253,18%,NONE
Demo1,LLRED20,Description here,34761.5,PCS,142,254,18%,NONE
Demo1,LLRED21,Description here,36691.4,PCS,143,255,18%,NONE
Demo1,LLRED22,Description here,38621.3,PCS,144,256,18%,NONE
Demo1,LLRED23,Description here,40551.2,PCS,145,257,18%,NONE
Demo1,LLRED24,Description here,42481.1,PCS,146,258,18%,NONE
Demo1,LLRED25,Description here,44411,PCS,147,259,18%,NONE
Demo1,LLRED26,Description here,46340.9,PCS,148,260,18%,NONE
Demo1,LLRED27,Description here,48270.8,PCS,149,261,18%,NONE
Demo1,LLRED28,Description here,50200.7,PCS,150,262,18%,NONE
Demo1,LLRED29,Description here,52130.6,LIST,151,263,18%,NONE
Demo1,LLRED30,Description here,54060.5,PCS,152,264,18%,NONE
Demo1,LLRED31,Description here,55990.4,PCS,153,265,18%,NONE
Demo1,LLRED32,Description here,57920.3,PCS,154,266,18%,NONE
Demo1,LLRED33,Description here,59850.2,PCS,155,267,18%,NONE
Demo1,LLRED34,Description here,61780.1,PCS,156,268,18%,NONE
Demo1,LLRED35,Description here,63710,PCS,157,269,18%,NONE
Demo1,LLRED36,Description here,65639.9,PCS,158,270,18%,NONE
Demo1,LLRED37,Description here,67569.8,PCS,159,271,18%,NONE
Demo1,LLRED38,Description here,69499.7,PCS,160,272,18%,NONE
Demo1,LLRED39,Description here,71429.6,PCS,161,273,18%,NONE
Demo1,LLRED40,Description here,73359.5,PCS,162,274,18%,NONE
Demo1,LLRED41,Description here,75289.4,PCS,163,275,18%,NONE
Demo1,LLRED42,Description here,77219.3,PCS,164,276,18%,NONE
Demo1,LLRED43,Description here,79149.2,PCS,165,277,18%,NONE
Demo1,LLRED44,Description here,81079.1,PCS,166,278,18%,NONE
